Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
AZAD HIND,WB675299,AZAD HIND - B,,,,,,,Private - NON AC,,,Bankura,Durgapur (Station)
AZAD HIND,WB675299,AZAD HIND - B,,,,,,,Private - NON AC,,,Bankura,Durgapur (Station)
VIDYASAGAR,WB495999,VIDYASAGAR - B,,,,,,VIDYASAGAR TRAVELS,Private - NON AC,,,Belpahari,Contai
BISWARUP,WB33D4365,BISWARUP - K,,,,,,,Private - NON AC,,,Khatra,Medinipur
DEVI DURGA,WB55B6583,DEVI DURGA - F,,,,,,,Private - NON AC,,,Fulkusma,Purulia
PALLYDOOT,WB67B9065,PALLYDOOT - D,,,,,,,Private - NON AC,,,Dheko,Bankura
RAJARAM,WB41H0047,RAJARAM - B,,,,,,RAJARAM BUS SERVICE,Private - NON AC,,,Bardhaman,Bandwan
RAJARAM,WB41D0011,RAJARAM - B,,,,,,RAJARAM BUS SERVICE,Private - NON AC,,,Bandwan,Bardhaman
SHANTI,JH09AF3342,SHANTI - B,,,,,,,Private - NON AC,,,Bokaro,Durgapur (Station)
KAKOLI,WB41G5539,KAKOLI - M,,,,,AYUSH,,Private - NON AC,,,Memari,Bolpur
RBN TRAVELS,WB55B9065,RBN TRAVELS - M,,,,,,RBN TRAVELS,Private - NON AC,9153767256,,Medinipur,Tatanagar
PUTUL,WB677575,PUTUL - B,,,,,,PUTUL TRAVELS,Private - NON AC,,,Bankura,Saltora
PUTUL,WB677575,PUTUL - S,,,,,,PUTUL TRAVELS,Private - NON AC,,,Sonathali,Bankura
GARIB NAWAZ,WB55A2052,GARIB NAWAZ - P,,,,,SHALIMAR EXPRESS,,Private - NON AC,,,Purulia,Jhargram
MAA BARGABHIMA,WB67C2129,MAA BARGABHIMA - M,,,,,RAJA BABU,,Private - NON AC,,,Manbazar,Bankura
RANA,WB499891,RANA - M,,,,,MAA DWARASUNI,RANA TRAVELS,Private - NON AC,9332129791,9932718951,Madansole,Digha
SERMA EPIL,WB55A6535,SERMA EPIL - S,,,,,,,Private - NON AC,9832730831,9064405303,Sonathali,Purulia
SERMA EPIL,WB55A6535,SERMA EPIL - S,,,,,,,Private - NON AC,9832730831,9064405303,Sonathali,Purulia
DEBI PARUL,WB67C2325,DEBI PARUL - C,,,,,,,Private - NON AC,,,Chendapathar,Bankura
MAA PARAMA,WB67B9152,MAA PARAMA - T,,,,,,,Private - NON AC,,,Tentulia,Bardhaman
MAA TARA,WB15A0092,MAA TARA - T,,,,,,,Private - NON AC,,,Tarkeshwar,Bankura
SANYASI BABA,WB33F3536,SANYASI BABA - M,,,,,JOYGURU,,Private - NON AC,9002599577,,Manbazar,Kharagpur
RANAR,WB517861,RANAR - J,,,,,,RANARR TRAVELS,Private - NON AC,,,Joyrampur,Ranaghat
MAA DULALI,WB676805,MAA DULALI - B,,,,,,MAA DULALI TRAVELS,Private - NON AC,,,Bankura,Saltora
MAA DULALI,WB676805,MAA DULALI - M,,,,,,MAA DULALI TRAVELS,Private - NON AC,,,Manihara,Bankura
BANDEL,WB33D5580,BANDEL - T,,,,,MAHAPRABHU,MAHAPRABHU TRAVELS,Private - NON AC,,,Tarkeshwar,Kharagpur
RAKHALRAJA,WB33B2331,RAKHALRAJA - M,,,,,,,Private - NON AC,9932842980,,Manbazar,Chandrakona Road
PRATIMA,WB67B8770,PRATIMA - R,,,,,,,Private - NON AC,,,Raniganj,Kashipur
MAHARAJ,WB11B4571,MAHARAJ - B,,,,,,MAHARAJ BUS SERVICE,Private - NON AC,,,Bardhaman,Jangipur
MAA CHANDI,WB67B5415,MAA CHANDI - B,,,,,,MAA SARADA BUS SERVICE,Private - NON AC,,,Boga,Bankura
MAA LAXMI,WB11A6062,MAA LAXMI - T,,,,,,,Private - NON AC,,,Tarkeshwar,Bankura
BULLET,JH05DC3022,BULLET - T,,,,,,,Private - NON AC,,,Tatanagar,Durgapur (Station)
MAA SARADA,WB67C2341,MAA SARADA - H,,,,,ISHIKA,RAHUL TRAVELS,Private - NON AC,,,Hetia,Bardhaman
SBSTC,A,SBSTC - A,,,,,,South Bengal State Transport Corporation,Government - NON AC,7699993926,3252222153,Arambagh,Purulia
JANAKI,WB170057,JANAKI - C,,,,,,,Private - NON AC,9674609708,,Chandrakona Town,Howrah
BIJOY KRISHNA,WB430655,BIJOY KRISHNA - K,,,,,SHYAM SUNDAR,,Private - NON AC,,,Kalna,Benachity
AYAN EXPRESS,WB492900,AYAN EXPRESS - R,,,,,,,Private - NON AC,6296788935,,Raipur,Digha
ABHIJAN,WB41C1304,ABHIJAN - S,,,,,MAA TARA,,Private - NON AC,70769,,Sarenga,Medinipur
NOSIB,WB33F1317,NOSIB - K,,,,,,NOSIB TRAVELS,Private - NON AC,9641913319,8391027938,Kharagpur,Bardhaman
SOHANA,WB29C4818,SOHANA - D,,,,,,,Private - NON AC,7478378088,,Digha,Barasat
JOY BABA LOKENATH,WB49N2226,JOY BABA LOKENATH - G,,,,,BIRAJ LAXMI,,Private - NON AC,8926119011,9932281646,Gadiara,Bishnupur
BANERJEE,WB19A3967,BANERJEE - D,,,,,,,Private - NON AC,,,Durgapur (Station),Ambika Nagar
PRATIKSHA,WB41K3204,PRATIKSHA - T,,,,,,,Private - NON AC,8972746442,9933185729,Tatanagar,Bardhaman
PRATIKSHA,WB41H7004,PRATIKSHA - B,,,,,,,Private - NON AC,8972746442,9933185729,Bardhaman,Tatanagar
GOPAL GOLD,WB314172,GOPAL GOLD - B,,,,,,,Private - NON AC,,,Bishnupur,Bankura
GOPAL GOLD,WB314172,GOPAL GOLD - B,,,,,,,Private - NON AC,,,Bishnupur,Bankura
SATHI,WB67C1663,SATHI - R,,,,,,SATHI TRAVELS,Private - NON AC,,,Rasulpur,Mukutmanipur
WESTERN DIAMOND,WB33F3255,WESTERN DIAMOND - B,,,,,,,Private - NON AC,,,Bhalukbasa,Medinipur
SUBHA SANDHYA,WB33F3729,SUBHA SANDHYA - P,,,,,LAXMI NARAYAN,,Private - NON AC,,,Panskura,Contai
KANGSABATI,WB55A4296,KANGSABATI - B,,,,,,,Private - NON AC,,,Bardhaman,Ranchi
NABARUPA,WB41A9596,NABARUPA - B,,,,,,,Private - NON AC,,,Bardhaman,Suri
MAA JAGADAMBA,WB55B5556,MAA JAGADAMBA - B,,,,,,,Private - NON AC,9800113098,7319279651,Barabazar,Durgapur (Station)
GHOSH,WB51C1324,GHOSH - S,,,,,KINJAL,,Private - NON AC,9647978116,8617817609,Shikarpur,Bardhaman
DYNAMIC,WB33F0379,DYNAMIC - L,,,,,GOBINDA,DYNAMIC TRAVELS,Private - NON AC,,,Lalgarh,Contai
RADHASHYAM,WB31A3465,RADHASHYAM - G,,,,,MAA TARA,,Private - NON AC,9874484093,8910802257,Garia,Egra
TRILOCHAN,WB67C2339,TRILOCHAN - P,,,,,,,Private - NON AC,,,Parsola,Raniganj
JOY BABA KHETRAPAL,WB33F2448,JOY BABA KHETRAPAL - B,,,,,JOY SRI KRISHNA,JOY SRI KRISHNA TRAVELS,Private - NON AC,9531643403,7976901906,Bishnupur,Tatanagar
DEBI PARUL,WB41M5978,DEBI PARUL - R,,,,,,,Private - NON AC,,,Ranibandh,Bardhaman
JINIA,WB39B8959,JINIA - D,,,,,,,Private - NON AC,,,Durgapur (Station),Purulia
MONALISHA,WB55A6764,MONALISHA - M,,,,,SANHATI EXPRESS,,Private - NON AC,,,Manbazar,Purulia
MONALISHA,WB55A6764,MONALISHA - M,,,,,SANHATI EXPRESS,,Private - NON AC,,,Manbazar,Purulia
MAA MANASA,WB33C6926,MAA MANASA - F,,,,,,,Private - NON AC,,,Fulkusma,Bankura
BABA BHOLANATH,WB676815,BABA BHOLANATH - G,,,,,,,Private - NON AC,,,Gobindapur,Bankura
SBSTC,P,SBSTC - P,,,,,VADU EXPRESS,South Bengal State Transport Corporation,Private - NON AC,7699993928,7699993952,Purulia,Kolkata (Esplaned)
BIJOYJATRA,WB37D0141,BIJOYJATRA - R,,,,,,,Private - NON AC,,,Rupnarayanpur,Katwa
SULTAN,WB67B5266,SULTAN - B,,,,,TIPU SULTAN,,Private - NON AC,,,Baidyanathpur,Kashipur
GARIB NAWAZ,WB67A9590,GARIB NAWAZ - B,,,,,,,Private - NON AC,,,Bankura,Chandrakona Town
SAHIN,WB432806,SAHIN - M,,,,,,,Private - NON AC,6297961870,8145320852,Mecheda,Bardhaman
